# redshift    SN_Ia    SN_II    SN_Ibc
1.175976812781683645e+00 1.585728590439728358e-01 5.889989986692190094e-01 2.524281422868081548e-01
1.175673556922391061e+00 1.586001811924947769e-01 5.889798731652536867e-01 2.524199456422515642e-01
1.175370394982719890e+00 1.586274997211319371e-01 5.889607501952076607e-01 2.524117500836604022e-01
1.175067326914495336e+00 1.586548146236331502e-01 5.889416297634567643e-01 2.524035556129100577e-01
1.174764352669551926e+00 1.586821258937730905e-01 5.889225118743588450e-01 2.523953622318680923e-01
1.174461472199729739e+00 1.587094335253524946e-01 5.889033965322532094e-01 2.523871699423942405e-01
1.174158685456881290e+00 1.587367375122029078e-01 5.888842837414579590e-01 2.523789787463391332e-01
1.173855992392861536e+00 1.587640378484963810e-01 5.888651735060524972e-01 2.523707886454510940e-01
1.173553392959537200e+00 1.587913345280034527e-01 5.888460658303975581e-01 2.523625996415989614e-01
1.173250887108781892e+00 1.588186275445374329e-01 5.888269607188237886e-01 2.523544117366387507e-01
1.172948474792477214e+00 1.588459168918790465e-01 5.888078581756847063e-01 2.523462249324363027e-01
1.172646155962511871e+00 1.588732025638068257e-01 5.887887582053351609e-01 2.523380392308579023e-01
1.172343930570785231e+00 1.589004845541009958e-01 5.887696608121292252e-01 2.523298546337696679e-01
1.172041798569200877e+00 1.589277628565579636e-01 5.887505660004094254e-01 2.523216711430326109e-01
1.171739759909673051e+00 1.589550374649950082e-01 5.887314737745034110e-01 2.523134887605014698e-01
1.171437814544122658e+00 1.589823083732016251e-01 5.887123841387588152e-01 2.523053074880395319e-01
1.171135962424479260e+00 1.590095755749740825e-01 5.886932970975180535e-01 2.522971273275077531e-01
1.170834203502681081e+00 1.590368390641098140e-01 5.886742126551230969e-01 2.522889482807670336e-01
1.170532537730672340e+00 1.590640988344427520e-01 5.886551308158900486e-01 2.522807703496671716e-01
1.170230965060408135e+00 1.590913548798391086e-01 5.886360515841125851e-01 2.522725935360482508e-01
1.169929485443847561e+00 1.591186071941730340e-01 5.886169749640788318e-01 2.522644178417480787e-01
1.169628098832960150e+00 1.591458557712616961e-01 5.885979009601167711e-01 2.522562432686214495e-01
1.169326805179724538e+00 1.591731006052740094e-01 5.885788295763081379e-01 2.522480698184177972e-01
1.169025604436126242e+00 1.592003416901043023e-01 5.885597608169269579e-01 2.522398974929687121e-01
1.168724496554156778e+00 1.592275790195913088e-01 5.885406946862861144e-01 2.522317262941226046e-01
1.168423481485819204e+00 1.592548125875723475e-01 5.885216311886992679e-01 2.522235562237282736e-01
1.168122559183121911e+00 1.592820423878913705e-01 5.885025703284759713e-01 2.522153872836325750e-01
1.167821729598081948e+00 1.593092684144029603e-01 5.884835121099178945e-01 2.522072194756790897e-01
1.167520992682725023e+00 1.593364906610095222e-01 5.884644565372932901e-01 2.521990528016971322e-01
1.167220348389084839e+00 1.593637091215748536e-01 5.884454036148976108e-01 2.521908872635275634e-01
1.166919796669201537e+00 1.593909237899699960e-01 5.884263533470209806e-01 2.521827228630089679e-01
1.166619337475125473e+00 1.594181346600752336e-01 5.884073057379473060e-01 2.521745596019774327e-01
1.166318970758913443e+00 1.594453417257835626e-01 5.883882607919515007e-01 2.521663974822649368e-01
1.166018696472631566e+00 1.594725449810276141e-01 5.883692185132806118e-01 2.521582365056916908e-01
1.165718514568351738e+00 1.594997444197080727e-01 5.883501789062043352e-01 2.521500766740875643e-01
1.165418424998155844e+00 1.595269400357378076e-01 5.883311419749834847e-01 2.521419179892786522e-01
1.165118427714134208e+00 1.595541318230340178e-01 5.883121077238760988e-01 2.521337604530897725e-01
1.164818522668383149e+00 1.595813197755213686e-01 5.882930761571349976e-01 2.521256040673435783e-01
1.164518709813008090e+00 1.596085038871769002e-01 5.882740472789761421e-01 2.521174488338469577e-01
1.164218989100123114e+00 1.596356841519450120e-01 5.882550210936383639e-01 2.521092947544164575e-01
1.163919360481849630e+00 1.596628605637747389e-01 5.882359976053576078e-01 2.521011418308675700e-01
1.163619823910315709e+00 1.596900331166238307e-01 5.882169768183632685e-01 2.520929900650128452e-01
1.163320379337660748e+00 1.597172018045727171e-01 5.881979587367990314e-01 2.520848394586281960e-01
1.163021026716028361e+00 1.597443666217669977e-01 5.881789433647630627e-01 2.520766900134698840e-01
1.162721765997574153e+00 1.597715275621961473e-01 5.881599307064626636e-01 2.520685417313411336e-01
1.162422597134458391e+00 1.597986846198511390e-01 5.881409207661041361e-01 2.520603946140446694e-01
