# number of detected SNeII per unit of redshift interval 
#  z_sim 	 dn_dz_Horiuchi dn_dz_Cole 	 dn_dz_Madau
1.039393971e-02 4.740029091e-01 5.079570620e-01 6.027026602e-01
1.046661974e-02 4.807408841e-01 5.154252250e-01 6.112386616e-01
1.053930632e-02 4.875282239e-01 5.229531560e-01 6.198365440e-01
1.061199946e-02 4.943649669e-01 5.305409675e-01 6.284963466e-01
1.068470136e-02 5.012513618e-01 5.381890054e-01 6.372183748e-01
1.075741156e-02 5.081874057e-01 5.458973367e-01 6.460026155e-01
1.083012833e-02 5.151729736e-01 5.536658922e-01 6.548489007e-01
1.090285165e-02 5.222081040e-01 5.614947846e-01 6.637572698e-01
1.097558507e-02 5.292931803e-01 5.693845105e-01 6.727281987e-01
1.104832548e-02 5.364279414e-01 5.773348493e-01 6.817613473e-01
1.112107245e-02 5.436123861e-01 5.853458692e-01 6.908567044e-01
1.119382689e-02 5.508466420e-01 5.934177823e-01 7.000144220e-01
1.126659094e-02 5.581309655e-01 6.015509447e-01 7.092348152e-01
1.133936157e-02 5.654650938e-01 6.097451328e-01 7.185175417e-01
1.141213878e-02 5.728490656e-01 6.180004595e-01 7.278626409e-01
1.148492475e-02 5.802831428e-01 6.263172873e-01 7.372704348e-01
1.155771906e-02 5.877673247e-01 6.346956854e-01 7.467409128e-01
1.163051995e-02 5.953014717e-01 6.431355672e-01 7.562738885e-01
1.170332742e-02 6.028856225e-01 6.516370455e-01 7.658694016e-01
1.177614493e-02 6.105201784e-01 6.602006401e-01 7.755279501e-01
1.184896952e-02 6.182048713e-01 6.688261201e-01 7.852491851e-01
1.192180069e-02 6.259396899e-01 6.775135423e-01 7.950330827e-01
1.199463924e-02 6.337247561e-01 6.862631130e-01 8.048797877e-01
1.206748753e-02 6.415603666e-01 6.950752355e-01 8.147896653e-01
1.214034242e-02 6.494462248e-01 7.039496461e-01 8.247623311e-01
1.221320391e-02 6.573823697e-01 7.128864580e-01 8.347978247e-01
1.228607402e-02 6.653690616e-01 7.218860337e-01 8.448964654e-01
1.235895263e-02 6.734063317e-01 7.309484783e-01 8.550582833e-01
1.243183786e-02 6.814940111e-01 7.400736707e-01 8.652830548e-01
1.250472969e-02 6.896321386e-01 7.492617242e-01 8.755708197e-01
1.257763137e-02 6.978211174e-01 7.585131634e-01 8.859220778e-01
1.265054034e-02 7.060607044e-01 7.678277834e-01 8.963365121e-01
1.272345593e-02 7.143508623e-01 7.772056113e-01 9.068140658e-01
1.279637866e-02 7.226916902e-01 7.866468286e-01 9.173548545e-01
1.286931139e-02 7.310835589e-01 7.961519244e-01 9.279593369e-01
1.294225075e-02 7.395261213e-01 8.057205754e-01 9.386270649e-01
1.301519673e-02 7.480194168e-01 8.153528952e-01 9.493580784e-01
1.308815104e-02 7.565636856e-01 8.250492255e-01 9.601526713e-01
1.316111418e-02 7.651590274e-01 8.348097491e-01 9.710109598e-01
1.323408395e-02 7.738052255e-01 8.446342892e-01 9.819326602e-01
1.330706035e-02 7.825023193e-01 8.545229596e-01 9.929178127e-01
1.338004626e-02 7.912506943e-01 8.644762681e-01 1.003966895e+00
1.345303983e-02 8.000501708e-01 8.744940796e-01 1.015079669e+00
1.352604004e-02 8.089006664e-01 8.845763696e-01 1.026256022e+00
1.359904703e-02 8.178022374e-01 8.947232711e-01 1.037496015e+00
1.367206442e-02 8.267553688e-01 9.049354062e-01 1.048800251e+00
1.374508845e-02 8.357596429e-01 9.152123682e-01 1.060168192e+00
1.381811912e-02 8.448150995e-01 9.255542713e-01 1.071599879e+00
1.389115772e-02 8.539219377e-01 9.359614118e-01 1.083095553e+00
1.396420559e-02 8.630803678e-01 9.464340995e-01 1.094655471e+00
1.403726011e-02 8.722901043e-01 9.569720773e-01 1.106279262e+00
1.411032129e-02 8.815511869e-01 9.675754592e-01 1.117966965e+00
1.418339151e-02 8.908639616e-01 9.782447105e-01 1.129719009e+00
1.425646989e-02 9.002283564e-01 9.889798179e-01 1.141535292e+00
1.432955493e-02 9.096442215e-01 9.997806790e-01 1.153415616e+00
1.440264663e-02 9.191115969e-01 1.010647408e+00 1.165360021e+00
1.447574849e-02 9.286309791e-01 1.021580644e+00 1.177369124e+00
1.454885741e-02 9.382020059e-01 1.032580041e+00 1.189442457e+00
1.462197299e-02 9.478246676e-01 1.043645656e+00 1.201580000e+00
1.469509595e-02 9.574990978e-01 1.054777711e+00 1.213781909e+00
1.476822876e-02 9.672256661e-01 1.065976701e+00 1.226048643e+00
1.484136824e-02 9.770039941e-01 1.077242259e+00 1.238379713e+00
1.491451439e-02 9.868341218e-01 1.088574500e+00 1.250775160e+00
1.498766901e-02 9.967163300e-01 1.099973816e+00 1.263235329e+00
1.506083240e-02 1.006650705e+00 1.111440377e+00 1.275760318e+00
1.513400247e-02 1.016637005e+00 1.122973971e+00 1.288349812e+00
1.520717923e-02 1.026675270e+00 1.134574714e+00 1.301003852e+00
1.528036552e-02 1.036765931e+00 1.146243172e+00 1.313722972e+00
1.535355952e-02 1.046908785e+00 1.157979180e+00 1.326506905e+00
1.542676022e-02 1.057103729e+00 1.169782688e+00 1.339355513e+00
1.549996762e-02 1.067350805e+00 1.181653811e+00 1.352268836e+00
1.557318557e-02 1.077650595e+00 1.193593294e+00 1.365247600e+00
1.564641022e-02 1.088002601e+00 1.205600629e+00 1.378291167e+00
1.571964157e-02 1.098406864e+00 1.217675929e+00 1.391399578e+00
1.579288064e-02 1.108863570e+00 1.229819482e+00 1.404573059e+00
1.586612926e-02 1.119373021e+00 1.242031706e+00 1.417811979e+00
1.593938458e-02 1.129934855e+00 1.254312249e+00 1.431115871e+00
1.601264661e-02 1.140549111e+00 1.266661225e+00 1.444484777e+00
1.608591738e-02 1.151216127e+00 1.279079095e+00 1.457919111e+00
1.615919669e-02 1.161935916e+00 1.291565944e+00 1.471418879e+00
1.623248271e-02 1.172708255e+00 1.304121579e+00 1.484983790e+00
1.630577545e-02 1.183533182e+00 1.316746115e+00 1.498613884e+00
1.637907792e-02 1.194411188e+00 1.329440192e+00 1.512309767e+00
1.645238795e-02 1.205341993e+00 1.342203552e+00 1.526071078e+00
1.652570470e-02 1.216325514e+00 1.355036166e+00 1.539897701e+00
1.659902832e-02 1.227361813e+00 1.367938175e+00 1.553789704e+00
1.667236236e-02 1.238451471e+00 1.380910327e+00 1.567747809e+00
1.674570314e-02 1.249593971e+00 1.393952086e+00 1.581771357e+00
1.681905065e-02 1.260789355e+00 1.407063569e+00 1.595860388e+00
