# number of detected SNeII per unit of redshift interval 
#  z_random 	 dn_dz_Horiuchi dn_dz_Cole 	 dn_dz_Madau
8.796933360e-03 6.337131532e+01 6.718904146e+01 8.066889822e+01
8.869445955e-03 6.442722979e+01 6.834208691e+01 8.200881557e+01
8.941965058e-03 6.549207735e+01 6.950569509e+01 8.335996513e+01
9.014490673e-03 6.656586319e+01 7.067988460e+01 8.472235173e+01
9.087024677e-03 6.764862056e+01 7.186470483e+01 8.609601585e+01
9.159567291e-03 6.874035861e+01 7.306017881e+01 8.748096734e+01
9.232116423e-03 6.984105136e+01 7.426629110e+01 8.887717152e+01
9.304672074e-03 7.095070398e+01 7.548306030e+01 9.028463321e+01
9.377237538e-03 7.206937257e+01 7.671056094e+01 9.170342182e+01
9.449810200e-03 7.319702269e+01 7.794876823e+01 9.313349195e+01
9.522389388e-03 7.433364916e+01 7.919768943e+01 9.457483527e+01
9.594975830e-03 7.547926865e+01 8.045735580e+01 9.602747120e+01
9.667572037e-03 7.663392667e+01 8.172783037e+01 9.749145568e+01
9.740174775e-03 7.779757752e+01 8.300907583e+01 9.896672906e+01
9.812784048e-03 7.897022640e+01 8.430111082e+01 1.004532962e+02
9.885401966e-03 8.015191295e+01 8.560399196e+01 1.019512055e+02
9.958028270e-03 8.134263881e+01 8.691773401e+01 1.034604574e+02
1.003066111e-02 8.254237921e+01 8.824232260e+01 1.049810188e+02
1.010330050e-02 8.375113936e+01 8.957777635e+01 1.065128944e+02
1.017594990e-02 8.496898292e+01 9.092417855e+01 1.080561633e+02
1.024860633e-02 8.619586555e+01 9.228149311e+01 1.096107674e+02
1.032126931e-02 8.743178449e+01 9.364972985e+01 1.111767016e+02
1.039393971e-02 8.867675999e+01 9.502892410e+01 1.127539897e+02
1.046661974e-02 8.993083562e+01 9.641913703e+01 1.143426853e+02
1.053930632e-02 9.119396413e+01 9.782032920e+01 1.159427266e+02
1.061199946e-02 9.246615074e+01 9.923251922e+01 1.175541186e+02
1.068470136e-02 9.374743977e+01 1.006557692e+02 1.191769155e+02
1.075741156e-02 9.503782872e+01 1.020900892e+02 1.208111127e+02
1.083012833e-02 9.633729239e+01 1.035354642e+02 1.224566762e+02
1.090285165e-02 9.764583599e+01 1.049919127e+02 1.241136111e+02
1.097558507e-02 9.896352888e+01 1.064595248e+02 1.257820032e+02
1.104832548e-02 1.002903206e+02 1.079382572e+02 1.274617871e+02
1.112107245e-02 1.016262088e+02 1.094281202e+02 1.291529580e+02
1.119382689e-02 1.029712154e+02 1.109291509e+02 1.308555419e+02
1.126659094e-02 1.043253861e+02 1.124414133e+02 1.325695948e+02
1.133936157e-02 1.056886701e+02 1.139648634e+02 1.342950506e+02
1.141213878e-02 1.070610725e+02 1.154995198e+02 1.360319143e+02
1.148492475e-02 1.084426402e+02 1.170454477e+02 1.377802431e+02
1.155771906e-02 1.098333710e+02 1.186026574e+02 1.395400326e+02
1.163051995e-02 1.112332369e+02 1.201711306e+02 1.413112458e+02
1.170332742e-02 1.126422433e+02 1.217508859e+02 1.430938876e+02
1.177614493e-02 1.140604627e+02 1.233420175e+02 1.448880479e+02
1.184896952e-02 1.154878434e+02 1.249444801e+02 1.466936596e+02
1.192180069e-02 1.169243813e+02 1.265582819e+02 1.485107156e+02
1.199463924e-02 1.183700970e+02 1.281834589e+02 1.503392405e+02
1.206748753e-02 1.198250436e+02 1.298200836e+02 1.521792995e+02
1.214034242e-02 1.212891642e+02 1.314681046e+02 1.540308189e+02
1.221320391e-02 1.227624640e+02 1.331275407e+02 1.558938034e+02
1.228607402e-02 1.242449893e+02 1.347984566e+02 1.577683100e+02
1.235895263e-02 1.257367441e+02 1.364808696e+02 1.596543416e+02
1.243183786e-02 1.272376947e+02 1.381747547e+02 1.615518543e+02
1.250472969e-02 1.287478467e+02 1.398801306e+02 1.634608531e+02
1.257763137e-02 1.302672728e+02 1.415970923e+02 1.653814281e+02
1.265054034e-02 1.317959258e+02 1.433255993e+02 1.673135181e+02
1.272345593e-02 1.333337970e+02 1.450656542e+02 1.692571101e+02
1.279637866e-02 1.348809026e+02 1.468172884e+02 1.712122230e+02
1.286931139e-02 1.364373096e+02 1.485805901e+02 1.731789394e+02
1.294225075e-02 1.380029514e+02 1.503554969e+02 1.751571737e+02
1.301519673e-02 1.395778336e+02 1.521420275e+02 1.771469308e+02
1.308815104e-02 1.411619985e+02 1.539402429e+02 1.791482627e+02
1.316111418e-02 1.427554627e+02 1.557501744e+02 1.811611885e+02
1.323408395e-02 1.443581840e+02 1.575717870e+02 1.831856532e+02
1.330706035e-02 1.459701678e+02 1.594050991e+02 1.852216615e+02
1.338004626e-02 1.475914834e+02 1.612502026e+02 1.872692995e+02
1.345303983e-02 1.492220957e+02 1.631070700e+02 1.893285209e+02
1.352604004e-02 1.508619873e+02 1.649756942e+02 1.913993020e+02
1.359904703e-02 1.525111666e+02 1.668560975e+02 1.934816517e+02
