redshift, SNIa_rate
1.8978, 0.6012
1.9022, 0.5981
1.9066, 0.5981
1.9112, 0.5981
1.9156, 0.5981
1.9201, 0.5981
1.9245, 0.5952
1.929, 0.5952
1.9335, 0.5952
1.938, 0.5952
1.9424, 0.5922
1.9468, 0.5922
1.9514, 0.5922
1.9558, 0.5922
1.9603, 0.5922
1.9647, 0.5892
1.9691, 0.5892
1.9737, 0.5892
1.9782, 0.5892
1.9826, 0.5892
1.987, 0.5862
1.9915, 0.5862
1.996, 0.5862
2.0005, 0.5862
2.0049, 0.5833
2.0094, 0.5833
2.0139, 0.5832
2.0183, 0.5832
2.0228, 0.5832
2.0273, 0.5803
2.0317, 0.5803
2.0362, 0.5803
2.0407, 0.5802
2.0451, 0.5802
2.0496, 0.5773
2.0541, 0.5773
2.0585, 0.5773
2.063, 0.5773
2.0675, 0.5773
2.0719, 0.5743
2.0764, 0.5743
2.0809, 0.5743
2.0853, 0.5743
2.0898, 0.5743
2.0943, 0.5713
2.0987, 0.5713
2.1032, 0.5713
2.1077, 0.5713
2.1121, 0.5683
2.1166, 0.5683
2.1211, 0.5683
2.1255, 0.5683
2.13, 0.5683
2.1345, 0.5653
2.1389, 0.5653
2.1434, 0.5653
2.1479, 0.5653
2.1522, 0.5653
2.1568, 0.5623
2.1613, 0.5623
2.1657, 0.5623
2.1702, 0.5623
2.1747, 0.5623
2.1791, 0.5593
2.1836, 0.5593
2.1881, 0.5593
2.1925, 0.5593
2.197, 0.5593
2.2015, 0.5564
2.2059, 0.5563
2.2104, 0.5563
2.2149, 0.5563
2.2193, 0.5563
2.2238, 0.5563
2.2283, 0.5534
2.2327, 0.5534
2.2372, 0.5533
2.2417, 0.5533
2.2461, 0.5533
2.2506, 0.5504
2.2551, 0.5504
2.2595, 0.5504
2.264, 0.5503
2.2685, 0.5503
2.2729, 0.5474
2.2774, 0.5474
2.2819, 0.5474
2.2863, 0.5474
2.2908, 0.5473
2.2953, 0.5444
2.2997, 0.5444
2.3042, 0.5444
2.3087, 0.5444
2.3131, 0.5444
2.3176, 0.5413
2.3221, 0.5413
2.3265, 0.5413
2.331, 0.5413
2.3355, 0.5413
2.3399, 0.5413
2.3444, 0.5384
2.3489, 0.5384
2.3533, 0.5384
2.3578, 0.5384
2.3623, 0.5384
2.3667, 0.5354
2.3712, 0.5354
2.3757, 0.5354
2.3801, 0.5354
2.3846, 0.5354
2.3891, 0.5354
2.3935, 0.5324
2.398, 0.5324
2.4025, 0.5324
2.4069, 0.5324
2.4114, 0.5324
2.4159, 0.5293
2.4203, 0.5293
2.4248, 0.5293
2.4293, 0.5293
2.4337, 0.5293
2.4382, 0.5293
2.4426, 0.5264
2.4471, 0.5264
2.4516, 0.5264
2.4561, 0.5264
2.4605, 0.5264
2.465, 0.5234
2.4695, 0.5234
2.4739, 0.5234
2.4784, 0.5234
2.4828, 0.5234
2.4873, 0.5234
2.4918, 0.5204
2.4962, 0.5204
2.5007, 0.5204
2.5051, 0.5204
2.5097, 0.5204
2.5141, 0.5173
2.5186, 0.5173
2.523, 0.5173
2.5274, 0.5173
2.532, 0.5173
2.5365, 0.5173
2.5409, 0.5144
2.5453, 0.5144
2.5497, 0.5144
2.5543, 0.5144
2.5588, 0.5144
2.5632, 0.5114
2.5676, 0.5114
2.5722, 0.5114
2.5766, 0.5114
2.5811, 0.5114
2.5856, 0.5085
2.5899, 0.5085
2.5945, 0.5084
2.599, 0.5084
2.6034, 0.5084
2.6078, 0.5084
2.6124, 0.5055
2.6168, 0.5055
2.6213, 0.5053
2.6258, 0.5053
2.6301, 0.5053
2.6347, 0.5053
2.6392, 0.5025
2.6436, 0.5025
2.6481, 0.5025
2.6526, 0.5024
2.657, 0.5024
2.6615, 0.5024
2.666, 0.4995
2.6703, 0.4995
2.6749, 0.4995
2.6794, 0.4994
2.6838, 0.4994
2.6883, 0.4994
2.6928, 0.4994
2.6972, 0.4965
2.7017, 0.4965
2.7062, 0.4964
2.7106, 0.4964
2.7151, 0.4964
2.7196, 0.4935
2.724, 0.4935
2.7285, 0.4935
2.733, 0.4934
2.7374, 0.4934
2.7419, 0.4934
2.7464, 0.4905
2.7508, 0.4905
