# number of detected SNeIa per unit of redshift interval 
#  z_random 	 dn_dz_Graur
1.147238929e-01 1.975537051e+01
1.147498914e-01 1.995847689e+01
1.177252644e-01 2.009301016e+01
1.195686242e-01 2.017539138e+01
1.200585048e-01 2.040384924e+01
1.213754133e-01 2.063221480e+01
1.214901591e-01 2.145001449e+01
1.225546738e-01 2.198470907e+01
1.245633159e-01 2.234266242e+01
1.261943376e-01 2.239923367e+01
1.263679174e-01 2.320606093e+01
1.276786367e-01 2.374589517e+01
1.326269818e-01 2.385326265e+01
1.353703806e-01 2.426508370e+01
1.358921660e-01 2.426782745e+01
1.362391018e-01 2.456861505e+01
1.386485855e-01 2.460184994e+01
1.424927071e-01 2.484762307e+01
1.426158286e-01 2.537781442e+01
1.428026206e-01 2.614504758e+01
1.432728495e-01 2.730378777e+01
1.450756006e-01 2.932328054e+01
1.451248331e-01 3.071686868e+01
1.455885918e-01 3.102960611e+01
1.459424164e-01 3.117665460e+01
1.461261462e-01 3.222566822e+01
1.465368976e-01 3.366116010e+01
1.472249532e-01 3.378198682e+01
1.483354981e-01 3.507350236e+01
1.507075423e-01 3.560042885e+01
1.518450061e-01 3.591352588e+01
1.560984435e-01 3.595826130e+01
1.561231309e-01 3.646013292e+01
1.565631100e-01 3.689381826e+01
1.582223982e-01 3.725067899e+01
1.591875965e-01 3.856982951e+01
1.632185063e-01 3.878180679e+01
1.644730165e-01 3.901206961e+01
1.649170758e-01 3.909644391e+01
1.672834139e-01 3.912981918e+01
1.681023539e-01 3.941428853e+01
1.686247295e-01 3.945346060e+01
1.704888355e-01 3.955779269e+01
1.718722520e-01 3.988281237e+01
1.721534488e-01 4.001230028e+01
1.721811836e-01 4.058575942e+01
1.723711304e-01 4.059887776e+01
1.730554228e-01 4.064111188e+01
1.733971384e-01 4.067445420e+01
1.737636731e-01 4.073802429e+01
1.739522133e-01 4.073755985e+01
1.783154354e-01 4.075225524e+01
1.783275191e-01 4.077945016e+01
1.783660870e-01 4.088803297e+01
1.788245905e-01 4.110643423e+01
1.850460739e-01 4.112938781e+01
1.859346550e-01 4.125784593e+01
1.867580317e-01 4.130923574e+01
1.876005083e-01 4.134305797e+01
1.876522264e-01 4.135945290e+01
1.903000774e-01 4.135955802e+01
1.908761096e-01 4.153415676e+01
1.914025995e-01 4.173155132e+01
1.928338209e-01 4.196729302e+01
1.939638625e-01 4.253079667e+01
1.949915927e-01 4.253442256e+01
1.955878683e-01 4.276903198e+01
1.956078521e-01 4.275543894e+01
1.959367772e-01 4.278444308e+01
1.969032599e-01 4.282580051e+01
1.969202511e-01 4.365644343e+01
1.977323405e-01 4.367971831e+01
1.995253732e-01 4.386719553e+01
1.999419740e-01 4.392356694e+01
2.000513719e-01 4.403919653e+01
2.000551780e-01 4.422761738e+01
2.005039017e-01 4.424016379e+01
2.021957031e-01 4.471956537e+01
2.054690287e-01 4.483550778e+01
2.076104023e-01 4.487408564e+01
2.085847606e-01 4.521583651e+01
2.087750024e-01 4.541041868e+01
2.099155755e-01 4.578882436e+01
2.130294339e-01 4.617082668e+01
2.130353414e-01 4.657831981e+01
2.138813167e-01 4.688259210e+01
2.156387274e-01 4.711135629e+01
2.179689973e-01 4.712696342e+01
2.210128259e-01 4.712959735e+01
2.220889761e-01 4.815124616e+01
2.255684223e-01 4.872579129e+01
2.308634914e-01 5.003147110e+01
2.309230425e-01 5.011360534e+01
2.309902571e-01 5.019147902e+01
2.342340390e-01 5.037520776e+01
2.350290897e-01 5.088903591e+01
2.385911435e-01 5.087422032e+01
2.392886627e-01 5.088833979e+01
2.406396066e-01 5.146018353e+01
2.411639407e-01 5.178655189e+01
2.412316580e-01 5.194354401e+01
2.417142461e-01 5.217783208e+01
2.441148503e-01 5.219086787e+01
2.461367275e-01 5.224114353e+01
2.463574078e-01 5.244860664e+01
2.482070971e-01 5.355398013e+01
2.484899050e-01 5.377763287e+01
2.502795631e-01 5.409749110e+01
2.505146461e-01 5.436670001e+01
2.509627136e-01 5.448977860e+01
2.511483910e-01 5.457668164e+01
2.519855181e-01 5.526906780e+01
2.522942206e-01 5.540620210e+01
2.541516902e-01 5.585347159e+01
2.552916627e-01 5.595759746e+01
2.574083571e-01 5.699151435e+01
2.578200258e-01 5.735511428e+01
2.588262212e-01 5.771983437e+01
2.596105620e-01 5.780072265e+01
2.618793580e-01 5.794199429e+01
2.625229712e-01 5.806238708e+01
2.642849513e-01 5.838434733e+01
